,index,Message_Raw,User,Message_Clean,Message_Only_Text,Date,Hour,Day_of_Week
715,110,"7/3/20, 17:03 - Ḅj: good evening guys
",Ḅj,good evening guys,good evening guys,03-07-2020 17.03,17,4
716,111,"7/3/20, 17:04 - Ḅj: I made two forms for the assessment
",Ḅj,I made two forms for the assessment,i made two forms for the assessment,03-07-2020 17.04,17,4
717,113,"7/3/20, 17:05 - Ḅj: https://bit.ly/2ZAcJyb check it out
",Ḅj,https://bit.ly/2ZAcJyb check it out,httpsbitlyzacjyb check it out,03-07-2020 17.05,17,4
718,114,"7/3/20, 17:05 - Ḅj: The other one is the google form
",Ḅj,The other one is the google form,the other one is the google form,03-07-2020 17.05,17,4
719,112,"7/3/20, 17:05 - Ḅj: The typeform is more elegant but i can't add all the questions because my account is a free account
",Ḅj,The typeform is more elegant but i can't add all the questions because my account is a free account,the typeform is more elegant but i cant add all the questions because my account is a free account,03-07-2020 17.05,17,4
720,115,"7/3/20, 17:06 - Ḅj: https://forms.gle/AK6tTe38oCpcgsce6
",Ḅj,https://forms.gle/AK6tTe38oCpcgsce6,httpsformsgleaktteocpcgsce,03-07-2020 17.06,17,4
721,116,"7/3/20, 17:06 - Ḅj: this one has all the questions but its quite lengthy
",Ḅj,this one has all the questions but its quite lengthy,this one has all the questions but its quite lengthy,03-07-2020 17.06,17,4
722,398,"7/3/20, 17:06 - AI Derek: But can you change name to notitia
",AI Derek,But can you change name to notitia,but can you change name to notitia,03-07-2020 17.06,17,4
723,397,"7/3/20, 17:06 - AI Derek: Perfect
",AI Derek,Perfect,perfect,03-07-2020 17.06,17,4
724,117,"7/3/20, 17:07 - Ḅj: yeah. I'm working on getting to use the Notita email.
",Ḅj,yeah. I'm working on getting to use the Notita email.,yeah im working on getting to use the notita email,03-07-2020 17.07,17,4
725,118,"7/3/20, 17:07 - Ḅj: okay.
",Ḅj,okay.,okay,03-07-2020 17.07,17,4
726,119,"7/3/20, 17:07 - Ḅj: typeform it is then
",Ḅj,typeform it is then,typeform it is then,03-07-2020 17.07,17,4
727,399,"7/3/20, 17:07 - AI Derek: Let’s use the typeform
",AI Derek,Let’s use the typeform,lets use the typeform,03-07-2020 17.07,17,4
728,400,"7/3/20, 17:07 - AI Derek: Sure
",AI Derek,Sure,sure,03-07-2020 17.07,17,4
729,401,"7/3/20, 17:08 - AI Derek: Yes
",AI Derek,Yes,yes,03-07-2020 17.08,17,4
730,120,"7/3/20, 17:08 - Ḅj: ✌️
",Ḅj,✌️,,03-07-2020 17.08,17,4
731,121,"7/3/20, 17:14 - Ḅj: You deleted this message
",Ḅj,You deleted this message,you deleted this message,03-07-2020 17.14,17,4
732,122,"7/3/20, 17:19 - Ḅj: This is the Notitia Typeform Link https://bit.ly/3gpeWDA
",Ḅj,This is the Notitia Typeform Link https://bit.ly/3gpeWDA,this is the notitia typeform link httpsbitlygpewda,03-07-2020 17.19,17,4
733,402,"7/3/20, 17:26 - AI Derek: Alright
",AI Derek,Alright,alright,03-07-2020 17.26,17,4
734,123,"7/3/20, 17:27 - Ḅj: yeah
",Ḅj,yeah,yeah,03-07-2020 17.27,17,4
